Fichier;Numéro de ligne;Contenu de la ligne;Criticité;Problème rencontré
D:/Akka/CodingRulesChecker-masterV2/CodingRulesChecker-master/commonelements.h;151;soit Ã cause d'une fonction Ã appeler, qui n'existe pas,\n \;Majeur;Le pointeur n'est pas entouré d'un block if !
D:/Akka/CodingRulesChecker-masterV2/CodingRulesChecker-master/commonelements.h;188;- PremiÃ¨re lettre de chaque mot suivant en majuscule.\n \;Majeur;Le pointeur n'est pas entouré d'un block if !
D:/Akka/CodingRulesChecker-masterV2/CodingRulesChecker-master/mainwindow.h;38;void saveConfigurationFileAndQuit(void);;Majeur;Le pointeur n'est pas entouré d'un block if !
D:/Akka/CodingRulesChecker-masterV2/CodingRulesChecker-master/mainwindow.h;38;void saveConfigurationFileAndQuit(void);;Majeur;Le pointeur n'est pas entouré d'un block if !
D:/Akka/CodingRulesChecker-masterV2/CodingRulesChecker-master/aboutdialog.cpp;9;ui(new Ui::AboutDialog);Majeur;Le pointeur n'est pas entouré d'un block if !
D:/Akka/CodingRulesChecker-masterV2/CodingRulesChecker-master/aboutdialog.cpp;9;ui(new Ui::AboutDialog);Majeur;Le pointeur n'est pas entouré d'un block if !
D:/Akka/CodingRulesChecker-masterV2/CodingRulesChecker-master/aboutdialog.cpp;9;ui(new Ui::AboutDialog);Majeur;Le pointeur n'est pas entouré d'un block if !
D:/Akka/CodingRulesChecker-masterV2/CodingRulesChecker-master/aboutdialog.cpp;9;ui(new Ui::AboutDialog);Majeur;Le pointeur n'est pas entouré d'un block if !
D:/Akka/CodingRulesChecker-masterV2/CodingRulesChecker-master/aboutdialog.cpp;9;ui(new Ui::AboutDialog);Majeur;Le pointeur n'est pas entouré d'un block if !
D:/Akka/CodingRulesChecker-masterV2/CodingRulesChecker-master/aboutdialog.cpp;11;ui->setupUi(this);;Majeur;Le pointeur n'est pas entouré d'un block if !
D:/Akka/CodingRulesChecker-masterV2/CodingRulesChecker-master/aboutdialog.cpp;11;ui->setupUi(this);;Majeur;Le pointeur n'est pas entouré d'un block if !
D:/Akka/CodingRulesChecker-masterV2/CodingRulesChecker-master/aboutdialog.cpp;11;ui->setupUi(this);;Majeur;Le pointeur n'est pas entouré d'un block if !
D:/Akka/CodingRulesChecker-masterV2/CodingRulesChecker-master/aboutdialog.cpp;11;ui->setupUi(this);;Majeur;Le pointeur n'est pas entouré d'un block if !
D:/Akka/CodingRulesChecker-masterV2/CodingRulesChecker-master/aboutdialog.cpp;11;ui->setupUi(this);;Majeur;Le pointeur n'est pas entouré d'un block if !
D:/Akka/CodingRulesChecker-masterV2/CodingRulesChecker-master/aboutdialog.cpp;41;ui->verticalLayout->setGeometry(QRect(X_SHIFT,;Majeur;Le pointeur n'est pas entouré d'un block if !
D:/Akka/CodingRulesChecker-masterV2/CodingRulesChecker-master/aboutdialog.cpp;41;ui->verticalLayout->setGeometry(QRect(X_SHIFT,;Majeur;Le pointeur n'est pas entouré d'un block if !
D:/Akka/CodingRulesChecker-masterV2/CodingRulesChecker-master/aboutdialog.cpp;41;ui->verticalLayout->setGeometry(QRect(X_SHIFT,;Majeur;Le pointeur n'est pas entouré d'un block if !
D:/Akka/CodingRulesChecker-masterV2/CodingRulesChecker-master/aboutdialog.cpp;41;ui->verticalLayout->setGeometry(QRect(X_SHIFT,;Majeur;Le pointeur n'est pas entouré d'un block if !
D:/Akka/CodingRulesChecker-masterV2/CodingRulesChecker-master/aboutdialog.cpp;41;ui->verticalLayout->setGeometry(QRect(X_SHIFT,;Majeur;Le pointeur n'est pas entouré d'un block if !
D:/Akka/CodingRulesChecker-masterV2/CodingRulesChecker-master/aboutdialog.cpp;59;ui->pushButton_valider->setText(VALIDATE);;Majeur;Le pointeur n'est pas entouré d'un block if !
D:/Akka/CodingRulesChecker-masterV2/CodingRulesChecker-master/aboutdialog.cpp;59;ui->pushButton_valider->setText(VALIDATE);;Majeur;Le pointeur n'est pas entouré d'un block if !
D:/Akka/CodingRulesChecker-masterV2/CodingRulesChecker-master/aboutdialog.cpp;59;ui->pushButton_valider->setText(VALIDATE);;Majeur;Le pointeur n'est pas entouré d'un block if !
D:/Akka/CodingRulesChecker-masterV2/CodingRulesChecker-master/aboutdialog.cpp;59;ui->pushButton_valider->setText(VALIDATE);;Majeur;Le pointeur n'est pas entouré d'un block if !
D:/Akka/CodingRulesChecker-masterV2/CodingRulesChecker-master/aboutdialog.cpp;59;ui->pushButton_valider->setText(VALIDATE);;Majeur;Le pointeur n'est pas entouré d'un block if !
D:/Akka/CodingRulesChecker-masterV2/CodingRulesChecker-master/aboutdialog.cpp;60;ui->label_about->setAlignment(Qt::AlignCenter);;Majeur;Le pointeur n'est pas entouré d'un block if !
D:/Akka/CodingRulesChecker-masterV2/CodingRulesChecker-master/aboutdialog.cpp;60;ui->label_about->setAlignment(Qt::AlignCenter);;Majeur;Le pointeur n'est pas entouré d'un block if !
D:/Akka/CodingRulesChecker-masterV2/CodingRulesChecker-master/aboutdialog.cpp;60;ui->label_about->setAlignment(Qt::AlignCenter);;Majeur;Le pointeur n'est pas entouré d'un block if !
D:/Akka/CodingRulesChecker-masterV2/CodingRulesChecker-master/aboutdialog.cpp;60;ui->label_about->setAlignment(Qt::AlignCenter);;Majeur;Le pointeur n'est pas entouré d'un block if !
D:/Akka/CodingRulesChecker-masterV2/CodingRulesChecker-master/aboutdialog.cpp;60;ui->label_about->setAlignment(Qt::AlignCenter);;Majeur;Le pointeur n'est pas entouré d'un block if !
D:/Akka/CodingRulesChecker-masterV2/CodingRulesChecker-master/aboutdialog.cpp;61;ui->label_about->setText(ABOUT_POPUP_CONTAINT);;Majeur;Le pointeur n'est pas entouré d'un block if !
D:/Akka/CodingRulesChecker-masterV2/CodingRulesChecker-master/aboutdialog.cpp;61;ui->label_about->setText(ABOUT_POPUP_CONTAINT);;Majeur;Le pointeur n'est pas entouré d'un block if !
D:/Akka/CodingRulesChecker-masterV2/CodingRulesChecker-master/aboutdialog.cpp;61;ui->label_about->setText(ABOUT_POPUP_CONTAINT);;Majeur;Le pointeur n'est pas entouré d'un block if !
D:/Akka/CodingRulesChecker-masterV2/CodingRulesChecker-master/aboutdialog.cpp;61;ui->label_about->setText(ABOUT_POPUP_CONTAINT);;Majeur;Le pointeur n'est pas entouré d'un block if !
D:/Akka/CodingRulesChecker-masterV2/CodingRulesChecker-master/aboutdialog.cpp;61;ui->label_about->setText(ABOUT_POPUP_CONTAINT);;Majeur;Le pointeur n'est pas entouré d'un block if !
D:/Akka/CodingRulesChecker-masterV2/CodingRulesChecker-master/aboutdialog.cpp;69;connect(ui->pushButton_valider, SIGNAL(clicked()), this, SLOT(accept()));;Majeur;Le pointeur n'est pas entouré d'un block if !
D:/Akka/CodingRulesChecker-masterV2/CodingRulesChecker-master/aboutdialog.cpp;69;connect(ui->pushButton_valider, SIGNAL(clicked()), this, SLOT(accept()));;Majeur;Le pointeur n'est pas entouré d'un block if !
D:/Akka/CodingRulesChecker-masterV2/CodingRulesChecker-master/aboutdialog.cpp;69;connect(ui->pushButton_valider, SIGNAL(clicked()), this, SLOT(accept()));;Majeur;Le pointeur n'est pas entouré d'un block if !
D:/Akka/CodingRulesChecker-masterV2/CodingRulesChecker-master/aboutdialog.cpp;69;connect(ui->pushButton_valider, SIGNAL(clicked()), this, SLOT(accept()));;Majeur;Le pointeur n'est pas entouré d'un block if !
D:/Akka/CodingRulesChecker-masterV2/CodingRulesChecker-master/aboutdialog.cpp;69;connect(ui->pushButton_valider, SIGNAL(clicked()), this, SLOT(accept()));;Majeur;Le pointeur n'est pas entouré d'un block if !
D:/Akka/CodingRulesChecker-masterV2/CodingRulesChecker-master/aboutdialog.cpp;94;ui->label_about->setFont(l_fontEnonce);;Majeur;Le pointeur n'est pas entouré d'un block if !
D:/Akka/CodingRulesChecker-masterV2/CodingRulesChecker-master/aboutdialog.cpp;94;ui->label_about->setFont(l_fontEnonce);;Majeur;Le pointeur n'est pas entouré d'un block if !
D:/Akka/CodingRulesChecker-masterV2/CodingRulesChecker-master/aboutdialog.cpp;94;ui->label_about->setFont(l_fontEnonce);;Majeur;Le pointeur n'est pas entouré d'un block if !
D:/Akka/CodingRulesChecker-masterV2/CodingRulesChecker-master/aboutdialog.cpp;94;ui->label_about->setFont(l_fontEnonce);;Majeur;Le pointeur n'est pas entouré d'un block if !
D:/Akka/CodingRulesChecker-masterV2/CodingRulesChecker-master/aboutdialog.cpp;94;ui->label_about->setFont(l_fontEnonce);;Majeur;Le pointeur n'est pas entouré d'un block if !
