Fichier;Numéro de ligne;Contenu de la ligne;Criticité;Problème rencontré
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/commonelements.h;219;nullptr!=m_test\n\;Mineur;Attention vous assigner peut-être une variable dans une instruction.
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/aboutdialog.cpp;20;nullptr!=ui;Mineur;Attention vous assigner peut-être une variable dans une instruction.
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/aboutdialog.cpp;35;nullptr!=p_widget;Mineur;Attention vous assigner peut-être une variable dans une instruction.
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/aboutdialog.cpp;41;nullptr!=ui;Mineur;Attention vous assigner peut-être une variable dans une instruction.
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/aboutdialog.cpp;62;nullptr!=ui;Mineur;Attention vous assigner peut-être une variable dans une instruction.
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/aboutdialog.cpp;75;nullptr!=ui;Mineur;Attention vous assigner peut-être une variable dans une instruction.
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/aboutdialog.cpp;103;nullptr!=ui;Mineur;Attention vous assigner peut-être une variable dans une instruction.
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/aboutdialog.cpp;119;nullptr!=ui;Mineur;Attention vous assigner peut-être une variable dans une instruction.
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/abstractcfamilyveriffiles.cpp;14;nullptr!=l_verifHFile;Mineur;Attention vous assigner peut-être une variable dans une instruction.
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/abstractveriffilerules.cpp;12;nullptr!=m_rulePopup;Mineur;Attention vous assigner peut-être une variable dans une instruction.
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/abstractveriffiles.cpp;21;nullptr!=l_verifAccolade;Mineur;Attention vous assigner peut-être une variable dans une instruction.
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/abstractveriffiles.cpp;40;nullptr!=l_verifMagicNumber;Mineur;Attention vous assigner peut-être une variable dans une instruction.
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/abstractveriffiles.cpp;59;nullptr!=l_verifCamelCase;Mineur;Attention vous assigner peut-être une variable dans une instruction.
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/abstractveriffiles.cpp;78;nullptr!=verifToDo;Mineur;Attention vous assigner peut-être une variable dans une instruction.
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/abstractveriffiles.cpp;99;nullptr!=l_verifPointer;Mineur;Attention vous assigner peut-être une variable dans une instruction.
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/abstractveriffiles.cpp;119;nullptr!=l_verifConditions;Mineur;Attention vous assigner peut-être une variable dans une instruction.
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/externaltoolparameterdialog.cpp;22;nullptr!=ui;Mineur;Attention vous assigner peut-être une variable dans une instruction.
