Fichier;Numéro de ligne;Contenu de la ligne;Criticité;Problème rencontré
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/verifyaccolade.cpp;27;int l_lineNumber = 1;;Critique;Est un magic number, il faut le remplacer par un define ou un enum !
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/verifyaccolade.cpp;111;l_lineNumber += 1;;Critique;Est un magic number, il faut le remplacer par un define ou un enum !
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/verifycamelcase.cpp;28;int l_lineNumber = 1;;Critique;Est un magic number, il faut le remplacer par un define ou un enum !
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/verifycamelcase.cpp;154;l_lineNumber += 1;;Critique;Est un magic number, il faut le remplacer par un define ou un enum !
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/verifyconditions.cpp;31;int l_lineNumber = 1;;Critique;Est un magic number, il faut le remplacer par un define ou un enum !
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/verifyconditions.cpp;136;l_lineNumber += 1;;Critique;Est un magic number, il faut le remplacer par un define ou un enum !
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/verifymagicnumber.cpp;28;int l_lineNumber = 1;;Critique;Est un magic number, il faut le remplacer par un define ou un enum !
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/verifymagicnumber.cpp;43;l_lineNumber += 1;;Critique;Est un magic number, il faut le remplacer par un define ou un enum !
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/verifypointer.cpp;30;int l_lineNumber = 1;;Critique;Est un magic number, il faut le remplacer par un define ou un enum !
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/verifypointer.cpp;44;l_braceCounter += 1;;Critique;Est un magic number, il faut le remplacer par un define ou un enum !
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/verifypointer.cpp;48;l_braceCounter -= 1;;Critique;Est un magic number, il faut le remplacer par un define ou un enum !
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/verifypointer.cpp;81;l_lineNumber += 1;;Critique;Est un magic number, il faut le remplacer par un define ou un enum !
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/verifytodo.cpp;28;int l_lineNumber = 1;;Critique;Est un magic number, il faut le remplacer par un define ou un enum !
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/verifytodo.cpp;44;l_lineNumber += 1;;Critique;Est un magic number, il faut le remplacer par un define ou un enum !
