Fichier;Numéro de ligne;Contenu de la ligne;Criticité;Problème rencontré
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/commonelements.h;151;soit Ã cause d'une fonction Ã appeler, qui n'existe pas,\n \;Majeur;Le pointeur n'est pas entouré d'un block if !
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/commonelements.h;188;- PremiÃ¨re lettre de chaque mot suivant en majuscule.\n \;Majeur;Le pointeur n'est pas entouré d'un block if !
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/mainwindow.h;39;void saveConfigurationFileAndQuit(void);;Majeur;Le pointeur n'est pas entouré d'un block if !
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/mainwindow.h;39;void saveConfigurationFileAndQuit(void);;Majeur;Le pointeur n'est pas entouré d'un block if !
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/aboutdialog.cpp;11;ui->setupUi(this);;Majeur;Le pointeur n'est pas entouré d'un block if !
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/aboutdialog.cpp;11;ui->setupUi(this);;Majeur;Le pointeur n'est pas entouré d'un block if !
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/aboutdialog.cpp;11;ui->setupUi(this);;Majeur;Le pointeur n'est pas entouré d'un block if !
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/aboutdialog.cpp;11;ui->setupUi(this);;Majeur;Le pointeur n'est pas entouré d'un block if !
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/aboutdialog.cpp;11;ui->setupUi(this);;Majeur;Le pointeur n'est pas entouré d'un block if !
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/aboutdialog.cpp;11;ui->setupUi(this);;Majeur;Le pointeur n'est pas entouré d'un block if !
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/aboutdialog.cpp;11;ui->setupUi(this);;Majeur;Le pointeur n'est pas entouré d'un block if !
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/aboutdialog.cpp;11;ui->setupUi(this);;Majeur;Le pointeur n'est pas entouré d'un block if !
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/aboutdialog.cpp;11;ui->setupUi(this);;Majeur;Le pointeur n'est pas entouré d'un block if !
D:/Akka/CodingRulesChecker-V3/CodingRulesChecker-V3/aboutdialog.cpp;11;ui->setupUi(this);;Majeur;Le pointeur n'est pas entouré d'un block if !
